,co2_per_capita,cement_co2_per_capita,coal_co2_per_capita,gas_co2_per_capita,other_industry_co2,oil_co2_per_capita,flaring_co2_per_capita
3167,4.017,0.188,1.196,1.202,29.834,1.36,0.056
3645,6.878,0.211,1.264,1.769,1.288,3.48,0.009
4687,6.167,0.235,0.405,3.682,0.951,1.745,0.001
4881,7.688,0.228,1.096,2.715,1.721,3.492,0.008
6536,2.245,0.11,0.261,0.278,6.392,1.486,0.081
7154,6.804,0.155,3.548,0.757,1.313,2.068,0.083
10604,4.349,0.294,0.41,1.197,0.186,2.331,0.07
11295,9.336,0.187,5.36,1.485,1.632,2.144,0.005
11648,4.94,0.206,0.715,0.605,0.44,3.319,0.019
13382,7.776,0.022,5.313,0.499,0.087,1.877,0.0
14951,6.174,0.16,1.59,1.534,37.953,2.765,0.04
15224,5.984,0.147,1.42,1.599,40.502,2.699,0.041
15742,6.527,0.112,2.303,0.433,0.597,3.558,0.012
15957,4.604,0.1,0.433,1.206,4.094,2.775,0.027
17225,7.984,0.154,2.907,1.822,8.472,2.977,0.022
17571,5.745,0.336,0.891,0.966,0.454,3.509,0.0
19791,4.45,0.1,0.499,1.902,0.442,1.89,0.014
21493,5.727,0.134,0.559,2.319,3.275,2.628,0.031
21839,8.502,0.187,3.447,1.652,7.646,3.151,0.003
23579,3.562,0.291,0.041,0.855,0.083,2.329,0.0
24793,3.81,0.0,0.0,1.374,0.0,2.436,0.0
24970,4.606,0.23,0.269,1.018,0.079,2.981,0.079
25516,1.858,0.117,0.816,0.344,2.877,0.555,0.024
27000,3.104,0.0,0.0,1.404,0.0,1.699,0.0
30221,7.137,0.0,1.28,2.871,1.155,2.857,0.064
30566,6.212,0.071,0.851,1.225,0.517,3.829,0.136
31704,10.535,0.13,1.7,3.707,26.971,4.798,0.154
32150,4.741,0.14,0.306,1.809,2.135,2.369,0.11
32687,7.509,0.135,0.676,2.375,0.567,4.074,0.145
35558,8.107,0.196,4.401,0.824,5.562,2.44,0.107
35731,4.051,0.205,0.101,1.043,0.82,2.53,0.092
36248,3.74,0.189,0.791,1.052,1.01,1.617,0.038
39755,6.052,0.257,1.979,1.843,0.888,1.813,0.003
39928,5.998,0.221,1.412,0.87,0.119,3.386,0.053
40620,2.487,0.107,0.218,0.571,6.392,1.485,0.09
41332,5.164,0.17,0.48,1.38,2.9,3.0,0.074
42231,3.607,0.119,0.663,0.135,0.519,2.64,0.001
42404,4.048,0.198,0.048,0.702,0.171,3.078,0.002
42749,11.631,0.23,6.378,2.491,0.831,2.498,0.0
45109,3.558,0.109,1.431,1.061,2.877,0.827,0.057
45555,4.72,0.06,0.29,2.025,2.548,2.259,0.048
